key,Artist,genre,dance,energy,loudness,speechiness,acoustic,live,valence,tempo,popularity,log_popularity
bickenhead cardi b,Cardi B,Rap,0.8936170212765957,0.8167565916726051,0.8082759004001778,0.30498817458611055,0.1722359382490847,0.16294990146250388,0.9258519141775347,0.6526098758899919,716987.75,5.855511735649877
big for your boots stormzy,Stormzy,Other,0.4873773564105391,0.9043062200956938,0.826645175633615,0.3861535153730381,0.03170855102160371,0.07374753656259724,0.6329406815313421,0.7599178734515004,589843.0,5.770736429765469
big gangsta kevin gates,Kevin Gates,Rap,0.8897585712710837,0.5683599714954698,0.8008559359715429,0.3850784777467212,0.5683874047663526,0.1266466134218442,0.38788388725283973,0.5891314599891878,704060.0,5.847609671299165
big plans why don't we,Why Don't We,Pop,0.6836070995480101,0.60093657742034,0.8113606047132059,0.02031821113738981,0.06767626729107433,0.09552950938699306,0.657130837189735,0.18724623011536823,641817.666666667,5.8074116673095775
bigger than life lil uzi vert,Lil Uzi Vert,Rap,0.7751074853930108,0.7516033798228647,0.8271453979546466,0.18189636637282308,0.3292780797073367,0.31957265843792143,0.7254943205721498,0.5610658047596592,807318.0,5.907044635641507
billie jean michael jackson,Michael Jackson,Other,0.9402491456289274,0.5166446095897383,0.7509670964873276,0.028488497097398407,0.020644678862093313,0.02364899906648688,0.8605384938998738,0.42938957199875777,763260.966666667,5.882673053034377
birth of the cruel slipknot,Slipknot,Other,0.3958769705655385,0.9562251857884556,0.8338706091596265,0.06267469361427651,0.00014510693870742485,0.11108806140441864,0.47833403449726547,0.6080872795868367,727928.0,5.86208842498738
blã¤ulich apache 207,Apache 207,Hiphop,0.7938485282769265,0.6940853099867658,0.7386616273899511,0.3904536658783058,0.06701770347205585,0.09708536458873561,0.20067311737484225,0.6414094940130437,1043729.77777778,6.018588074135155
black parade beyoncã©,BeyoncÃ©,Pop,0.8291257854701797,0.5500356306627303,0.796534570920409,0.028434745216082566,0.003516953692082022,0.2023648999066487,0.03696886832141355,0.44595060904772316,900953.25,5.954702256246785
bleed a boogie wit da hoodie,A Boogie Wit da Hoodie,Rap,0.5601366993716238,0.5525806780006108,0.7418991774121831,0.2635992259729091,0.12917599623633816,0.11419977180790375,0.36579722339082876,0.16674334878478012,658595.0,5.818618429259806
blood // water grandson,grandson,Rock,0.47525079925035824,0.8931080118090197,0.8015506891951979,0.12169425929907549,0.0016476456211757325,0.13079556062649103,0.6329406815313421,0.6414382498073362,687608.0,5.837340920859174
blue & grey bts,BTS,Pop,0.5226546136037923,0.6019545963554922,0.7703423743886172,0.019028165985809507,0.4255297147946524,0.10693911419977181,0.3552797644089188,0.4571998757749687,1132872.0,6.054180842931335
blue christmas elvis presley,Elvis Presley,Rock,0.4554073420791533,0.3128372187722692,0.5766359122573005,0.015838887694402604,0.9199591666116006,0.1643328838640525,0.5666806899453092,0.29921937603760507,1173898.13235294,6.069630411667572
blue world mac miller,Mac Miller,Rap,0.7376253996251791,0.5490176117275781,0.7085093374833259,0.42485486992044724,0.39412128650300204,0.049268748055181,0.5067311737484224,0.24428047251521182,1430251.5,6.155412411911491
blueberry faygo lil mosey,Lil Mosey,Rap,0.7905412854150591,0.5317112898299908,0.7332425522454424,0.018168135884755965,0.21681564292110458,0.10486464059744839,0.29322675641565,0.32516477070129635,1745025.29268293,6.241801726076301
bodak yellow cardi b,Cardi B,Rap,0.9404696284863853,0.7042654993382877,0.7767202089817696,0.08783057407009245,0.06990525252467533,0.22673996473394875,0.5062053007993268,0.47495082759175977,1005311.39512195,6.002300605275053
body megan thee stallion,Megan Thee Stallion,Rap,0.9272406570389152,0.7281889443143642,0.7873916184971098,0.2431735110728876,0.015244455546141808,0.08775023337828027,0.46098022717711407,0.296754045940257,1135134.72222222,6.055047408353386
boo'd up ella mai,Ella Mai,Pop,0.5513173850733105,0.7750178153313652,0.8144453090262339,0.036873790582670395,0.08743318186162861,0.06659060263458147,0.20067311737484225,0.227130516799135,886441.6,5.947650128957587
booker t bad bunny,Bad Bunny,Rap,0.8930658141329512,0.5968645016797312,0.7583092485549133,0.3721780262309181,0.11549813230287752,0.07385126024271342,0.6992006731173748,0.4109030469639633,952232.75,5.978743114021176
boss bitch doja cat,Doja Cat,Pop,0.6990408995700584,0.95826122365876,0.8304246331702979,0.21307245753601375,0.12866940868324703,0.18680634788922312,0.5771981489272191,0.48041155292791504,1278419.125,6.106673259012969
boss lil pump,Lil Pump,Hiphop,0.8048726711498182,0.7892700804234959,0.8626333926189417,0.015588045581595357,0.03079669342603967,0.36936002489368325,0.652923853596971,0.4459621113654401,478405.5,5.6797961638857055
bounce out with that ybn nahmir,YBN Nahmir,Rap,0.872119942674457,0.6620177135294717,0.7547799021787461,0.08621801763061707,0.048223305252374726,0.06679804999481381,0.37315944467816575,0.30179781225917024,628420.111111111,5.7982500751661865
boys will be boys dua lipa,Dua Lipa,Pop,0.7662881710946974,0.4808103430723812,0.792602267674522,0.01236293270264459,0.41337161352046514,0.07893372056840577,0.5183003786285234,0.47484443115287733,1369053.0,6.136420261254513
break my heart dua lipa,Dua Lipa,Pop,0.7252232388931761,0.7274254301130001,0.8625778123610494,0.08011717910126855,0.17071617558981128,0.39840265532621105,0.462031973075305,0.40572844178101886,1580182.22195296,6.198707171400939
break my stride matthew wilder,Matthew Wilder,Pop,0.9096020284422887,0.7236078591061794,0.7426634059582036,0.04009890346162116,0.207190479412373,0.20184628150606784,0.7854438367690366,0.3892154269085221,866934.5,5.937986286215372
break up every night the chainsmokers,The Chainsmokers,Pop,0.6075405137250579,0.8065764023210832,0.7925188972876834,0.021393248763706733,0.004160319884507764,0.06773156311585934,0.5277660917122423,0.6184968771207399,574967.4,5.75964322138272
break up song little mix,Little Mix,Other,0.615257413736082,0.7495673419525604,0.8075533570475767,0.016770586970543965,0.0039272896100858426,0.27393423918680637,0.5961295750946571,0.2735423687873107,824435.0,5.9161564207396475
breathin ariana grande,Ariana Grande,Pop,0.3352441847646345,0.6090807289015575,0.7846820809248555,0.046441625456891,0.023197880129672638,0.11212529820558034,0.44047118216238956,0.33118623402615627,1309477.42307692,6.117098015080734
bring u down lil nas x,Lil Nas X,Hiphop,0.6648660566640945,0.506260816451186,0.7682581147176524,0.022683293915287037,0.07689616075733299,0.09449227258583134,0.47938578039545643,0.44625542046722416,739886.0,5.869164809751377
brown paper bag migos,Migos,Rap,0.9195237570278911,0.48386439987783775,0.7971598488216985,0.1442700494517308,0.04832462276299295,0.09656674618815476,0.23853596970971813,0.5436340422595153,496494.0,5.695914004528004
buck shots a$ap rocky,A$AP Rocky,Rap,0.4113107705875868,0.8452611218568665,0.7940473543797243,0.5570844979574285,0.29685647630950396,0.34654081526812575,0.45309213294068157,0.0,545355.0,5.736679299249231
bust me lil uzi vert,Lil Uzi Vert,Rap,0.7288060853268659,0.7017204520004071,0.7842096487327701,0.3560524618361643,0.24011867036329682,0.40566331293434293,0.6119057635675221,0.6295621067645131,1028861.0,6.01235670517
butterfly doors lil pump,Lil Pump,Hiphop,0.9366111784808732,0.38715260103837934,0.6434526456202757,0.14642012470436466,0.08697725306384659,0.11419977180790375,0.46413546487168705,0.5035657184922762,981125.0,5.9917243420913575
butterfly effect travis scott,Travis Scott,Other,0.7607760996582517,0.6253690318639926,0.7954924410849266,0.028165985809503337,0.05379576833637722,0.09552950938699306,0.17543121581825832,0.5665006498809511,842548.943396226,5.9255951383024525
bye me fui bad bunny,Bad Bunny,Rap,0.7045529710065043,0.595846482744579,0.7818196976433971,0.09481831864115245,0.4174243139451942,0.08411990457421428,0.5908708456037022,0.7898181483568939,836239.0,5.92233041804557
c7osure (you like) lil nas x,Lil Nas X,Hiphop,0.8533788997905413,0.7414231904713428,0.8048021342819031,0.23994839819393682,0.4022266873524602,0.11731148221138887,0.5614219604543543,0.526420823795995,693418.0,5.840995111042921
cake by the ocean dnce,DNCE,Pop,0.7673905853819866,0.6732159218161459,0.7475266785237883,0.03300365512792948,0.1712227631429024,0.007468104968364279,0.9421539755994952,0.4402914687309493,489115.083333333,5.689411055803148
call casting migos,Migos,Rap,0.872119942674457,0.7302249821846686,0.8254918852823477,0.26843689529133524,0.09325893872217668,0.13027694222591016,0.4399453092132941,0.5036146033425736,571651.5,5.75713134740778
calling my spirit kodak black,Kodak Black,Rap,0.9277918641825598,0.3566120329838135,0.6815945975989329,0.07369382928402494,0.10921644664454745,0.24904055595892544,0.7512620950778293,0.44595060904772316,688646.041666667,5.837996055506789
camelot nle choppa,NLE Choppa,Hiphop,0.7888876639841252,0.6665987987376565,0.8068447087594487,0.43023005805203185,0.0817594012670079,0.6997199460636864,0.7207614640302903,0.7628739691047747,981286.095238095,5.991795644962904
can't leave without it 21 savage,21 Savage,Hiphop,0.8809392569727704,0.5877023312633615,0.7648677189862162,0.36035261234143195,0.1124586069843307,0.1266466134218442,0.7044594026083298,0.5148782479669654,581587.0,5.764614690334882
can't say travis scott,Travis Scott,Other,0.6935288281336126,0.7068105466761682,0.8089428634948866,0.033218662653192864,0.2036443665407351,0.09967845659163986,0.7223390828775768,0.6068852873854081,663986.0,5.822158922460118
